SYSCALL(args) 		 = return
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/_locale.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac\0", 0x7FFEE787AAB8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/_locale.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/_localemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/_locale.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/_locale.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages\0", 0x7FFEE787AAB8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/_locale.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/_localemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/_locale.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/_locale.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk\0", 0x7FFEE787AAB8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/_locale.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/_localemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/_locale.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/_locale.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-old\0", 0x7FFEE787A6F0, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-old\0", 0x7FFEE787AAB8, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload\0", 0x7FFEE787A6F0, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload\0", 0x7FFEE787AAB8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/_locale\0", 0x7FFEE787ADA0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/_locale.so\0", 0x0, 0x1B6)		 = 5 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload\0", 0x1100004, 0x2)		 = 6 0
fstatfs64(0x6, 0x7FFEE7879FD8, 0x0)		 = 0 0
getdirentries64(0x6, 0x7FEF32833200, 0x2000)		 = 3928 0
close_nocancel(0x6)		 = 0 0
fstat64(0x5, 0x7FFEE787AF10, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/_locale.so\0", 0x7FFEE7879E10, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/_locale.so\0", 0x7FFEE787A290, 0x0)		 = 0 0
open("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/_locale.so\0", 0x0, 0x0)		 = 6 0
pread(0x6, "\317\372\355\376\a\0", 0x1000, 0x0)		 = 4096 0
fcntl(0x6, 0x61, 0x7FFEE7871A00)		 = 0 0
fcntl(0x6, 0x62, 0x7FFEE78719E0)		 = 0 0
mmap(0x0, 0x610, 0x1, 0x1, 0x6, 0x0)		 = 0x1084A2000 0
munmap(0x1084A2000, 0x610)		 = 0 0
fcntl(0x6, 0x65, 0x7FFEE7871BA8)		 = 0 0
mmap(0x1084A2000, 0x2000, 0x5, 0x12, 0x6, 0x0)		 = 0x1084A2000 0
mmap(0x1084A4000, 0x1000, 0x3, 0x12, 0x6, 0x2000)		 = 0x1084A4000 0
mmap(0x1084A5000, 0x1000, 0x3, 0x12, 0x6, 0x3000)		 = 0x1084A5000 0
mmap(0x1084A6000, 0x51D0, 0x1, 0x12, 0x6, 0x4000)		 = 0x1084A6000 0
close(0x6)		 = 0 0
mprotect(0x1084A4000, 0x1000, 0x1)		 = 0 0
close_nocancel(0x5)		 = 0 0
mmap(0x0, 0x40000, 0x3, 0x1002, 0xFFFFFFFFFFFFFFFF, 0x0)		 = 0x1084AC000 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_sysconfigdata\0", 0x7FFEE787B130, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_sysconfigdata.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_sysconfigdatamodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_sysconfigdata.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787A368, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8168 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8144 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787B4D0, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_sysconfigdata.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787B2C8, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n/2\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787B3E8, 0x0)		 = 0 0
read_nocancel(0x5, "\0", 0x43E5)		 = 17373 0
read_nocancel(0x5, "ig.h pyconfig.h.in Makefile.pre.int\v\0", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_support\0", 0x7FFEE787B2A0, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_support.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_supportmodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_support.py\0", 0x0, 0x1B6)		 = 4 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7\0", 0x1100004, 0xFFFFFFFFFFFFFFF6)		 = 5 0
fstatfs64(0x5, 0x7FFEE787A4D8, 0x0)		 = 0 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8160 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8168 0
getdirentries64(0x5, 0x7FEF3283B400, 0x2000)		 = 8144 0
close_nocancel(0x5)		 = 0 0
fstat64(0x4, 0x7FFEE787B640, 0x0)		 = 0 0
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_support.pyc\0", 0x0, 0x1B6)		 = 5 0
fstat64(0x5, 0x7FFEE787B438, 0x0)		 = 0 0
read_nocancel(0x5, "\003\363\r\n\2501\333^c\0", 0x1000)		 = 4096 0
fstat64(0x5, 0x7FFEE787B558, 0x0)		 = 0 0
read_nocancel(0x5, "/Frameworks/Python.framework/Versions/2.7/lib/python2.7/_osx_support.pys\t\0", 0x21BC)		 = 8628 0
read_nocancel(0x5, "-versiont\001\0", 0x8)		 = 0 0
close_nocancel(0x5)		 = 0 0
close_nocancel(0x4)		 = 0 0
madvise(0x7FEF2F73D000, 0xC000, 0x9)		 = 0 0
stat64("/Users/porter/Library/Python/2.7/lib/python/site-packages\0", 0x7FFEE787BD48, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/site-packages\0", 0x7FFEE787BD48, 0x0)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/site-python\0", 0x7FFEE787BD48, 0x0)		 = -1 Err#2
stat64("/Library/Python/2.7/site-packages\0", 0x7FFEE787BD48, 0x0)		 = 0 0
open_nocancel("/Library/Python/2.7/site-packages\0", 0x1100004, 0xFFFFFFFF8FB6BC70)		 = 4 0
fstatfs64(0x4, 0x7FFEE787B418, 0x0)		 = 0 0
getdirentries64(0x4, 0x7FEF3001F000, 0x2000)		 = 136 0
close_nocancel(0x4)		 = 0 0
open_nocancel("/Library/Python/2.7/site-packages/Extras.pth\0", 0x0, 0x1B6)		 = 4 0
fstat64(0x4, 0x7FFEE787B8E8, 0x0)		 = 0 0
fstat64(0x4, 0x7FFEE787B828, 0x0)		 = 0 0
read_nocancel(0x4, "/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python\n/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC\n\0", 0x2000)		 = 157 0
read_nocancel(0x4, "\0", 0x1F63)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python\0", 0x7FFEE787B8E8, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC\0", 0x7FFEE787B8E8, 0x0)		 = 0 0
close_nocancel(0x4)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/Library/Python/2.7/site-packages\0", 0x7FFEE787B270, 0x0)		 = 0 0
stat64("/Library/Python/2.7/site-packages\0", 0x7FFEE787B638, 0x0)		 = 0 0
stat64("/Library/Python/2.7/site-packages/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python\0", 0x7FFEE787B270, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python\0", 0x7FFEE787B638, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC\0", 0x7FFEE787B270, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC\0", 0x7FFEE787B638, 0x0)		 = 0 0
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/sitecustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/sitecustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/sitecustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/sitecustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/sitecustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-darwin/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/plat-mac/lib-scriptpackages/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-tk/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/lib/python2.7/lib-dynload/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/Library/Python/2.7/site-packages/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/Library/Python/2.7/site-packages/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
stat64("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/usercustomize\0", 0x7FFEE787B920, 0x0)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/usercustomize.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/usercustomizemodule.so\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/usercustomize.py\0", 0x0, 0x1B6)		 = -1 Err#2
open_nocancel("/System/Library/Frameworks/Python.framework/Versions/2.7/Extras/lib/python/PyObjC/usercustomize.pyc\0", 0x0, 0x1B6)		 = -1 Err#2
close_nocancel(0x3)		 = 0 0
open_nocancel("/usr/share/locale/en_US.UTF-8/LC_CTYPE\0", 0x0, 0x5)		 = 3 0
fcntl_nocancel(0x3, 0x3, 0x0)		 = 0 0
fstat64(0x3, 0x7FFEE787C348, 0x0)		 = 0 0
fstat64(0x3, 0x7FFEE787C148, 0x0)		 = 0 0
lseek(0x3, 0x0, 0x1)		 = 0 0
lseek(0x3, 0x0, 0x0)		 = 0 0
read_nocancel(0x3, "RuneMagAUTF-8\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "\0", 0x1000)		 = 4096 0
read_nocancel(0x3, "@\004\211\0", 0xF5D0)		 = 62928 0
close_nocancel(0x3)		 = 0 0
